"uuid","pl_name","pl_zipcode","pl_city","pl_url","pl_urltxt","Ycoord","Xcoord"
"1","Familienbildungsstätte","46325","Borken","http://www.fabi-borken.de","www.fabi-borken.de","51.84165","6.8595"
"2","Familienbildungsstätte","46397","Bocholt","http://www.fabi-bocholt.de","www.fabi-bocholt.de","51.84121","6.620509999999999"
"3","Familienbildungsstätte","48599","Gronau","http://www.fbs-gronau.de","www.fbs-gronau.de","52.2059","7.03243"
"4","Kath. Bildungswerk","46325","Borken","http://www.kkbw.de","www.kkbw.de","51.84283","6.8599"
"5","FBS Datteln","45711","Datteln","http://www.fbs-datteln.de","www.fbs-datteln.de","51.65217999999999","7.346850000000001"
"6","Familienbildungsstätte","47533","Kleve","http://www.fbs-kleve.de","www.fbs-kleve.de","51.7889067","6.138115"
"7","Kath. Familienbildungsstätte","53113","Bonn","http://www.fbs-bonn.de","www.fbs-bonn.de","50.73059","7.105099999999999"
"8","Haus der Familie Münster","48143","Münster","http://www.haus-der-familie-muenster.de","www.haus-der-familie-muenster.de","51.96085","7.61891"
"9","Familienbildungsstätte","48231","Warendorf","http://www.hdf-waf.de","www.hdf-waf.de","51.9537226","7.988533"
"10","Familienbildungsstätte Mehrgenerationenhaus Coesfeld","48653","Coesfeld","http://www.fbs-coesfeld.de","www.fbs-coesfeld.de","51.9482651","7.168066699999999"
"11","Familienbildungsstätte","49477","Ibbenbüren","http://www.fabi-ibbenbueren.de","www.fabi-ibbenbueren.de","52.27287","7.71634"
"12","Kath. Familienbildungsstätte","46284","Dorsten","http://www.fbs-dorsten.de","www.fbs-dorsten.de","51.6793","6.9508"
"13","Kath. Familienbildungsstätte Oberhausen","46045","Oberhausen","http://www.kefb-bistum-essen.de","www.kefb-bistum-essen.de","51.47431","6.861829999999999"
"14","KBF Duisburg-West","47226","Duisburg","http://www.kbf-du-west.de","www.kbf-du-west.de","51.40159","6.71249"
"15","KBF Haus der Familie Kamp-Lintfort","47475","Kamp-Lintfort","http://www.haus-der-familie-kamplintfort.de","www.haus-der-familie-kamplintfort.de","51.50295","6.55035"
"16","KBF Wesel","46483","Wesel","http://www.kbf-wesel.de","www.kbf-wesel.de","51.65981","6.61381"
"17","Kath. Familienbildungsstätte Mühlheim","45468","Mühlheim a.de.Ruhr","http://www.kefb-bistum-essen.de","www.kefb-bistum-essen.de","51.4266604","6.8844846"
"18","Familienbildungsstätte","47546","Kalkar","http://www.fbs-kalkar.de","www.fbs-kalkar.de","51.7657","6.28736"
"19","Kath. Familienbildungsstätte","44137","Dortmund","http://info@kbs-dortmund.de","info@kbs-dortmund.de","51.5130633","7.4616924"
"20","Kath. Familienbildungsstätte","47051","Duisburg","http://www.kefb-bistum-essen.de","www.kefb-bistum-essen.de","51.4374159","6.7647477"
"21","Kath. Familienbildungsstätte","47166","Duisburg","http://www.kefb-bistum-essen.de","www.kefb-bistum-essen.de","51.4893836","6.762599199999999"
"22","Kath. Forum für Erwachsenbildung u. Familienbildung","41061","Mönchengladbach","http://www.forum-mg-hs.de","www.forum-mg-hs.de","51.1996503","6.4317975"
"23","HDF Warendorf","48321","Warendorf","http://www.hdf-waf.de","www.hdf-waf.de","51.9537226","7.988533"
"24","Familienbildungsstätte Ahlen","59227","Ahlen","http://www.fbs-ahlen.de","www.fbs-ahlen.de","51.7640727","7.890117"
"25","Familienbildungsstätte Oelde-Neubeckumf","59302","Oelde","http://www.fbs-oelde.de","www.fbs-oelde.de","",""
"26","Kath. Bildungsstätte Erw.-u. Familienbildung","59812","Arnsberg","http://www.kbs-arnsberg.de","www.kbs-arnsberg.de","51.39483","8.06944"
"27","Familienbildungsstätte Geldern-Kevelaer","47608","Geldern","http://www.fbs-geldern-kevelaer.de","www.fbs-geldern-kevelaer.de","51.5208297","6.3317051"
"28","Kath. Familienbildungsstätte","57462","Olpe","http://www.kbs-olpe.de","www.kbs-olpe.de","51.0245366","7.8548918"
"29","Familienbildungsstätte","48249","Dülmen","http://www.fbs-duelmen.de","www.fbs-duelmen.de","51.8292289","7.2785711"
"30","Familienbildungsstätte Werne","59368","Werne","http://www.fbs-werne.de","www.fbs-werne.de","51.66392820000001","7.6351393"
"31","Haus der Familie","46446","Emmerich","http://www.hdf-emmerich.de","www.hdf-emmerich.de","51.83186","6.244429999999999"
"32","Kath. Familienbildungsstätte","33098","Paderborn","http://www.kbs-paderborn.de","www.kbs-paderborn.de","51.7214","8.759739999999999"
"33","Familienbildungsstätte","49477","Ibbenbüren","http://www.fabi-ibbenbueren.de","www.fabi-ibbenbueren.de","52.27287","7.71634"
"34","Familienbildungsstätte","48431","Rheine","http://www.fbs-rheine.de","www.fbs-rheine.de","52.2810989","7.4380887"
"35","Familienbildungsstätte","48565","Steinfurt","http://www.fbs-steinfurt.de","www.fbs-steinfurt.de","52.12721999999999","7.395840000000001"
"36","Kath. Familienbildungsstätte","44791","Bochum","http://www.kefb-bistum-essen.de","www.kefb-bistum-essen.de","51.48954999999999","7.218330000000001"
"37","Kath. Familienbildungsstätte","44866","Bochum-wattenscheid","http://www.kefb-bistum-essen.de","www.kefb-bistum-essen.de","51.4784681","7.1324457"
"38","Familienbildungsstätte","47546","Kalkar","http://www.fbs-kalkar@bistum-muenster.de","www.fbs-kalkar@bistum-muenster.de","51.73994","6.29552"
"39","Kath.Bildungswerk Rhein-Erft-kreis","50126","Bergheim","http://www.bildung.erzbistum-koeln.de/bw-rhein-erft-kreis","www.bildung.erzbistum-koeln.de/bw-rhein-erft-kreis","50.95594999999999","6.63718"
